snomedid|term
P1-C0220|Local anesthetic epidural block
P1-C0220|Epidural block
P1-C0220|LA - Local anaesthetic epidural block
P1-95320|Excision of lesion of nerve
P1-95320|Excision of lesion of nerve, NOS
P3-78110|Barbiturates measurement, qualitative
P3-78110|Presence of barbiturate
P3-56008|Bacterial biotyping
P3-56008|Bacterial biotyping, NOS
P3-61A15|Serologic test for influenza virus A
P1-56126|Enterocentesis of duodenum
P3-59102|Contagious equine metritis test
P3-40242|Cryopreservation for genetic studies
P3-40242|Cryopreservation for genetic studies, NOS
P1-19B12|Suture of periosteum of phalanges of foot
PA-11330|Application of Fazio bag
P1-10878|Repair of tendon by graft or implant of fascia
PA-20212|Ward urine dip stick testing for sugar
P1-55A10|Closure of gastrostomy
P1-55A10|Take-down of stoma of stomach
P1-55A10|Surgical closure of gastrostomy
P1-55A10|Closure of stoma of stomach
P3-70720|Clearance ratio measurement
P1-55972|Pantaloon operation, revision of gastric anastomosis
P1-315A1|Implantation of heart auxiliary ventricle
P2-A0080|Placement of collagen shield on cornea
P0-0581A|Cinching of ocular muscle, oblique or rectus
P0-0581A|Plication of eye muscle, oblique or rectus
P1-AB012|Diagnostic procedure on external ear
P1-AB012|Diagnostic procedure on external ear, NOS
P1-77311|Biopsy of deep structures of penis
P3-41050|Electron microscopy transmission technique, complete
P1-19442|Excision of lesion of hindfoot
P3-44000|Surgical pathology procedure
P3-44000|Surgical pathology procedure, NOS
P1-34C00|Destructive procedure of aorta
P1-34C00|Destructive procedure of aorta, NOS
P2-22110|Control of atmospheric pressure and composition with antigen-free air conditioning
P8-40370|Comprehensive orthodontic treatment, permanent dentition, for class III malocclusion
F-18750|Jerk test
P5-C0052|Hemibody irradiation
P1-95820|Neuroplasty of major peripheral nerve of brachial plexus
P3-49940|Duchenne muscular dystrophy carrier detection
P3-49940|Duchenne muscular dystrophy carrier detection, NOS
P1-32804|Repair of heart valve with prosthesis or tissue graft
P1-32804|Replacement of heart valve with prosthesis or tissue graft
P0-00AB7|Homemaking education, guidance, and counseling
P0-00AB7|Homemaking education, guidance, and counselling
P0-00AB7|Homemaking teaching, guidance, and counseling
P0-00AB7|Housekeeping education, guidance and counseling
P0-00AB7|Housekeeping education, guidance and counselling
P0-00AB7|Homemaking teaching, guidance, and counselling
P0-00AC5|Skin care education, guidance, and counseling
P0-00AC5|Skin care education, guidance, and counselling
P0-00AC5|Skin care teaching, guidance, and counseling
P0-00AC5|Skin care teaching, guidance, and counselling
P0-0583C|Open biopsy of duodenum
P1-93817|Obliteration of sacral meningocele
P1-39510|Injection of therapeutic substance into pericardium
P1-39510|Introduction of therapeutic substance into pericardium
P1-38553|Insertion of intravascular umbrella of inferior vena cava, partial
P3-60122|Passive agglutination test
P1-C7200|Anesthesia for total elbow replacement
P1-C7200|Anaesthesia for total elbow replacement
P0-053CD|Ramadier operation
P1-26C60|Ligation of bronchus
P1-43E10|Manipulation of skin of trunk
P1-43E10|Manipulation of skin of trunk, NOS
P1-54708|Oesophagoscopy through artificial stoma
P1-54708|Esophagoscopy through artificial stoma
P1-40474|Chemosurgery by Mohs' technique, third stage
P1-40474|Chemosurgery by Mohs' technique, third stage, including the removal of all gross tumor and delineation of margins
P1-40474|Chemosurgery by Mohs' technique, third stage, including the removal of all gross tumour and delineation of margins
P1-40474|Chemosurgery by Mohs' technique, third stage, NOS
P1-16351|Larrey shoulder disarticulation
P1-16351|Larry operation
P1-16351|Larrey operation
P1-16351|Larrey's amputation
P1-16351|Larry shoulder disarticulation
P1-A2518|Probing of lacrimal canaliculi with irrigation
P1-13942|Open reduction of open sacral fracture
P0-10120|Hospital admission, emergency, indirect
P1-A2827|Ligation for closure of lacrimal punctum
P1-14E20|Reduction of closed sacral fracture
P1-56520|Irrigation of enterostomy
P3-68004|Lymphocyte transformation, antigen induced
P3-78345|Gentamicin measurement
P3-78345|Gentamicin level
P3-72712|Electrolytes measurement, serum
P3-72712|Serum electrolytes
P2-06000|Screening procedure
P2-06000|Health screening
P2-06000|Screening treatments and procedures
P2-06000|Screening procedures
P2-06000|Screening procedure, NOS
P1-18E69|Closed reduction of fracture of tibia
PA-00464|Making Foster bed
P2-26055|Oxygen uptake by expired gas analysis at rest and with exercise
P5-00159|Negative contrast cardiac roentgenography
P2-47991|Elective immunization for international travel
P2-47991|Elective immunisation for international travel
P1-A2C10|Cauterisation of lacrimal canaliculi
P1-A2C10|Cauterization of lacrimal canaliculi
P1-A2C10|Cauterization of lacrimal canaliculi, NOS
P2-36130|Wedge pressure determination
P2-36130|Wedge pressure determination, NOS
P3-55616|Time kill assay test
P3-55616|Time kill assay test, NOS
P1-10A63|Charnley operation on knee
P1-73C00|Ureterolysis
P1-73C00|Lysis of adhesions of ureter
PA-00120|Nursing evaluation of patient and report
PA-00120|Nursing evaluation of patient and report
PA-00120|Nursing evaluation of patient and report, NOS
P1-A2872|Narrowing of palpebral fissure
P1-B9857|Bilateral repair of inguinal hernia with prosthesis or graft, direct and indirect
P1-25303|Excision of intubation granuloma of larynx
P1-25303|Excision of arytenoid granuloma
P1-AD842|Revision of tack operation of inner ear
P1-17441|Medial fasciotomy with annular ligament of finger resection
P1-B938A|Removal of foreign body from vulva
P1-B938A|Removal of foreign body from labia
P0-05D9E|Interposition procedure of intestine
P0-05D9F|Interposition procedure of small intestine
P0-05DA0|Chest imaging
P5-100FC|Radiographic procedure of chest
P3-53130|Microbial identification, Neisseria hemophilus identification card method
P1-93329|Aspiration of lesion of spinal cord
P1-93329|Aspiration of lesion of spinal cord tissue
P1-10822|Open reduction of fracture with internal fixation
P1-10822|Open reduction of fracture with internal fixation, NOS
P1-10822|Open reduction and internal fixation of fracture
P1-10822|ORIF - Open reduction and internal fixation of fracture
P1-38325|Intracranial phlebectomy with graft replacement
P1-A404E|Laser gonioplasty
P1-A404E|Laser peripheral iridoplasty
P3-7827E|Diethylstilbestrol measurement
P3-7827E|Diethylstilboestrol measurement
P3-78443|Metharbital measurement
P1-13902|Dorsal and dorsolumbar fusion by anterior technique
P3-78411|Mephentermine measurement
P3-7860E|Plutonium measurement
P3-78614|Aroclor 1254 measurement
P3-62487|Streptococcus agalactiae antigen assay
P3-6169A|Streptococcus pneumoniae 3 antibody assay
P3-616AA|Thermoactinomyces candidus antibody assay
P3-61647|Clostridium tetani antibody assay
P3-61821|Coccidioides immitis antibody assay
P3-52081|Coccidioides immitis detection
P3-62293|Influenza virus A Bangkok antibody assay
P3-6192B|Leishmania tropica antibody assay
P3-61662|Leptospira interrogans antibody assay
P3-5067B|Microfilaria species identification
P3-622A3|Parainfluenza virus 1 antibody assay
P1-10820|Internal fixation of bone without fracture reduction
P1-10820|Internal fixation of bone without fracture reduction, NOS
P1-36130|Release of coeliac artery axis
P1-36130|Release of celiac artery axis
P1-36130|Unbridling of coeliac artery axis
P1-36130|Strong operation for unbridling of celiac artery axis
P1-36130|Unbridling of celiac artery axis
P1-36130|Strong operation for unbridling of coeliac artery axis
P1-45320|Excision of hoof
P1-45320|Amputation of hoof
P5-00210|Diagnostic video sound tape
F-A8870|Queckenstedt's test
P1-10E13|Windowing of cast
P1-10E13|Cutting a window in plaster cast
P1-10E13|Windowing of plaster cast
P3-68031|Lymphocyte transformation, PHA
P3-68031|Phytohemagglutination assay
P3-68031|PHA assay
P9-36150|Chemical shock therapy
P9-36150|Drug-induced convulsive therapy
P9-36150|Chemical shock therapy, NOS
P3-22610|Blood unit collection for directed donation, donor
P3-22610|Directed blood donation
P3-22610|Collection, processing and storage of donor directed whole blood or components
P1-91C25|Cauterisation of choroid plexus
P1-91C25|Cauterization of choroid plexus
P1-25740|Direct laryngoscopy with arytenoidectomy
P1-25740|Endoscopic arytenoidectomy
P1-84376|Unilateral partial salpingectomy
P1-84376|Unilateral resection of cornua of fallopian tube
P1-60C00|Destructive procedure on parathyroid
P1-60C00|Destruction of parathyroid gland
P1-60C00|Destructive procedure on parathyroid gland
P1-60C00|Destructive procedure on parathyroid, NOS
P1-37C20|Destructive procedure of artery of lower extremity
P1-37C20|Destructive procedure of artery of lower extremity, NOS
P1-1412D|Tenotomy of adductor of hip, subcutaneous, open, with obturator neurectomy
P0-05AE4|Percutaneous excisional biopsy of nerve ganglion
P3-72954|Glucose tolerance test, 3 hours
P2-7131E|Ramp protocol
P2-7131F|Pepper protocol
P3-79011|Antipsychotic identification
P3-59045|Endotoxin identification
P3-79025|Sympathomimetic identification
P0-05310|Procedure on phalanx of foot
P0-05308|Procedure on bone of foot
P0-05301|Procedure on bone of hand
P0-05287|Procedure on clavicle
P1-03121|Needle biopsy
P1-74102|Percutaneous urinary vesicostomy
P1-74102|Cutaneous urinary vesicostomy
P1-74102|Percutaneous blind insertion of suprapubic catheter
P1-74102|Stab insertion of suprapubic tube
P1-74102|Percutaneous urinary cystostomy
PA-00100|Nursing ward administrative procedure
PA-00100|Nursing ward administrative procedure, NOS
P1-50001|Upper digestive tract operation
P1-4836D|Urban operation, extended radical mastectomy
P1-577B0|Rigid proctosigmoidoscopy
P0-057DF|External ear and external auditory canal procedure
P1-43540|Implantation into skin of trunk
P1-43540|Implantation into skin of trunk, NOS
P1-C4730|Anesthesia for cystolithotomy
P1-C4730|Anaesthesia for cystolithotomy
P1-1892A|Repair of joint capsule of knee
P0-20843|Family/carer referral to diabetes structured education program
P0-20843|Family/carer referral to diabetes structured education programme
P0-00B32|Injection of steroid into plantar fascia
P3-6712A|Anti lactoferrin antibody level
P3-6712A|Lactoferrin antibody measurement
P3-72224|Calcitonin gene-related peptide level
P3-72224|Calcitonin gene-related peptide measurement
P3-72934|C-terminal glucagon level
P3-72934|C-terminal glucagon measurement
P3-001C8|Citrate:creatinine ratio
P3-78040|Allobarbital measurement
P3-78262|Dexamethasone measurement
P1-5C068|Repair of common bile duct laceration
P3-50256|Fungal blood culture
P3-58022|Environmental culture for fungus
P3-6168F|Streptococcus pneumoniae antibody assay
P3-62401|Cryptosporidium species antigen assay
P3-62401|Cryptosporidia antigen level
P3-52085|Cryptosporidium species detection
P3-52005|Cyanobacterium identification
P3-52086|Cyclospora cayetanesis detection
P3-61667|Neisseria gonorrhoeae antibody assay
P3-61667|Neisseria gonorrheae antibody assay
P9-0017A|Providing reassurance to children
P9-0017B|Providing reassurance to neighbour
P9-0017B|Providing reassurance to neighbor
P9-0017C|Providing reassurance to carer
P3-52092|Bluetongue virus detection
P3-61A4F|Bluetongue virus serotype determination
P3-61911|Acanthameba species antibody assay
P3-61911|Acanthamoeba species antibody assay
P3-61648|Corynebacterium diphtheriae antibody assay
P3-62296|Influenza virus A Leningrad antibody assay
P3-60178|Antibody to tissue specific antigen measurement
P1-19B02|Suture of ligament of ankle
F-18320|Ober's test
P1-16455|Wedge osteotomy of radius and ulna
P5-40064|Mammary ductogram of multiple ducts
P5-40064|Mammary galactogram of multiple ducts
P2-68014|Transfusion of plasma
P2-4A010|Manual examination of breast
P1-10238|McBride operation
P1-1783F|Radiocarpal fusion
P1-1783F|Carporadial arthrodesis
P1-1783F|Carporadial fusion
P1-0016C|Attachment of pedicle flap graft
P1-08642|Surgical repair and revision of stoma
P3-72360|Cerebrospinal fluid IgG ratio and IgG index
P3-72360|CSF IgG/CSF albumin ratio
P3-60172|Solid phase labelled antigen competitive binding immunoassay
P1-34370|Excision of lesion of thoracic aorta with end-to-end anastomosis
P3-500DC|MUG test
P1-36530|Embolization of abdominal artery
P1-36530|Embolisation of abdominal artery
P1-A400D|Goniotomy without goniopuncture
P1-A2991|Repair of ectropion by blepharoplasty and excision of tarsal wedge
P1-A2991|Repair of ectropion with wedge resection
P1-A6842|Constriction of globe for scleral buckling
P1-1741A|Aponeurectomy of hand
P1-1741A|Excision of aponeurosis of hand
P0-05303|Procedure on bone of lower extremity
P0-05292|Procedure on bone of pelvis
P0-05288|Procedure on ilium
P1-5234D|Total glossectomy
P1-5234D|Total excision of tongue
P1-5234D|Complete glossectomy
PA-60049|Gastric care education
PA-60049|Teach gastric care
P3-50684|Toxoplasma species identification
P0-040F9|Gastric care management
P0-040F9|Manage gastric care
P1-84320|Local excision of ovary
P1-84320|Local excision of ovary, NOS
P1-34519|Insertion of intra-aortic balloon counterpulsation
P1-34519|Insertion of pulsation-type balloon into aorta
P1-34519|Insertion of intra-aortic balloon pump
P3-52590|Special potency disk identification, vancomycin test
P1-18A42|Repair of congenital pseudoarthrosis of tibia
P1-18A42|Correction of tibial pseudoarthrosis
P1-57180|Incision of appendix
P1-57180|Appendicotomy
P1-40D92|Composite graft
P1-95700|Endoscopic procedure of nerve
P1-95700|Endoscopic procedure of nerve, NOS
P1-75816|Denis-Browne hypospadias repair
P3-61666|Mycoplasma synoviae antibody assay
P3-50502|Parasite identification
P3-50681|Plasmodium species identification
P1-17114|Arthrotomy of mediocarpal joint for infection with exploration and drainage
P0-30900|Determination of prognosis
P0-30900|Forecast of outcome, NOS
P0-30900|Prognosis
P0-30900|Forecast of outcome
P0-30900|Prognosis, NOS
P2-A8112|Basic pure tone audiometry, air and bone
P1-17B24|Suture of bursa of hand
P3-62224|HIV-1 dot blot immunobinding assay
P3-62224|Human immunodeficiency virus HIV-1 dot blot immunobinding assay
P1-25418|Subtotal supraglottic laryngectomy with radical neck dissection
PA-00804|Funnel enema
P1-41802|Rhytidectomy of glabellar frown lines
P1-53130|Division of congenital web of pharynx
P1-A4012|Diagnostic procedure on anterior chamber of eye
P5-10000|Radiography of face, head AND/OR neck
P5-10000|Radiography of face, head and neck, NOS
